"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.37","2017","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","12.3","14.5","11.0","11.8","5.3","7.7","13.7","10.0","","","12.0"
"13A.37","2017","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","20.7","20.6","16.3","20.4","14.2","9.6","25.2","19.4","","","19.1"
"13A.37","2017","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","21.5","22.8","25.1","26.1","21.9","19.6","19.9","17.9","","","23.0"
"13A.37","2017","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","26.5","26.6","32.2","27.4","36.0","39.7","20.2","31.8","","","28.7"
"13A.37","2017","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","19.0","15.5","15.4","14.2","22.7","23.4","21.1","20.9","","","17.2"
"13A.37","2017","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","6.9","7.8","8.3","6.9","7.2","7.7","7.0","5.0","","","7.4"
"13A.37","2017","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","27.6","28.1","27.8","26.0","26.7","21.9","29.2","26.4","","","27.5"
"13A.37","2017","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","26.3","27.0","29.0","29.0","26.2","28.0","27.8","15.9","","","27.2"
"13A.37","2017","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","20.3","19.4","20.2","20.0","21.0","22.1","20.7","28.0","","","20.1"
"13A.37","2017","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","19.0","17.9","14.8","18.1","18.9","20.4","15.4","24.7","","","17.8"
"13A.37","2017","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","26.1","30.2","28.2","24.0","30.2","6.7","30.3","28.6","","","27.6"
"13A.37","2017","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","35.5","35.1","36.4","28.6","32.7","43.3","33.3","28.6","","","34.4"
"13A.37","2017","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","21.6","19.4","22.3","23.0","25.2","30.0","15.2","28.6","","","21.6"
"13A.37","2017","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","14.0","11.3","9.3","14.6","7.6","13.3","15.2","7.1","","","11.8"
"13A.37","2017","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","2.8","4.0","3.9","9.8","4.4","6.7","6.1","7.1","","","4.6"
"13A.37","2016","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","1.2","3.7","2.1","0.8","1.9","..","..","..","","","2.0"
"13A.37","2016","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","14.1","17.7","18.7","16.0","16.5","9.3","16.9","21.4","","","16.4"
"13A.37","2016","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","29.8","29.6","34.7","27.4","26.8","26.7","28.2","25.0","","","30.1"
"13A.37","2016","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","24.9","22.4","24.0","33.1","28.0","18.7","26.8","28.6","","","25.0"
"13A.37","2016","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","30.0","26.7","20.5","22.7","26.8","45.3","28.2","25.0","","","26.5"
"13A.37","2016","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","12.3","14.3","10.2","11.4","6.0","7.0","11.0","10.6","","","11.7"
"13A.37","2016","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","20.2","19.7","15.9","20.0","12.7","11.2","17.0","15.1","","","18.3"
"13A.37","2016","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","21.8","23.4","26.1","26.2","22.5","19.8","25.9","17.6","","","23.6"
"13A.37","2016","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","27.7","28.0","33.2","28.5","37.4","39.2","25.9","34.2","","","30.0"
"13A.37","2016","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","18.0","14.7","14.6","13.9","21.4","23.0","20.2","22.6","","","16.4"
"13A.37","2016","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","6.8","7.6","7.8","6.0","8.5","8.4","7.8","2.2","","","7.2"
"13A.37","2016","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","27.7","27.8","27.7","25.7","24.8","22.4","27.4","26.6","","","27.3"
"13A.37","2016","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","26.1","26.9","28.9","28.8","26.1","29.1","26.5","17.9","","","27.1"
"13A.37","2016","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","20.6","19.6","20.8","20.4","20.9","20.8","21.6","29.4","","","20.4"
"13A.37","2016","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","18.8","18.2","14.8","19.0","19.8","19.3","16.7","23.9","","","18.0"
"13A.37","2016","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","25.6","33.6","27.6","28.2","35.5","7.7","18.5","25.0","","","29.1"
"13A.37","2016","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","36.3","31.1","37.4","29.2","27.0","19.2","29.6","31.3","","","32.9"
"13A.37","2016","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","20.7","19.4","22.2","19.0","23.0","38.5","22.2","18.8","","","20.8"
"13A.37","2016","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","15.0","12.1","9.5","15.5","9.9","15.4","22.2","18.8","","","12.9"
"13A.37","2016","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","2.4","3.8","3.4","8.1","4.6","19.2","7.4","6.3","","","4.3"
"13A.37","2015","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","1.2","3.8","1.9","2.1","2.9","..","1.6","4.0","","","2.3"
"13A.37","2015","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","15.0","19.5","18.5","18.3","15.3","13.5","8.2","8.0","","","17.2"
"13A.37","2015","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","29.3","27.4","32.2","26.6","26.8","27.0","34.4","32.0","","","28.8"
"13A.37","2015","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","24.2","23.1","25.7","32.4","30.0","18.9","29.5","28.0","","","25.5"
"13A.37","2015","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","30.4","26.3","21.7","20.6","24.9","40.5","26.2","28.0","","","26.2"
"13A.37","2015","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","12.3","14.5","8.3","11.0","5.5","8.1","10.6","10.4","","","11.3"
"13A.37","2015","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","18.7","18.6","16.2","19.4","11.3","9.8","18.1","16.2","","","17.5"
"13A.37","2015","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","21.9","24.3","27.0","27.4","23.7","20.7","21.5","17.7","","","24.2"
"13A.37","2015","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","29.8","29.3","34.3","29.8","40.4","39.7","26.3","34.4","","","31.5"
"13A.37","2015","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","17.3","13.4","14.2","12.6","19.1","21.7","23.6","21.4","","","15.5"
"13A.37","2015","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","7.5","7.7","7.7","7.7","8.2","8.2","8.5","2.7","","","7.6"
"13A.37","2015","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","27.8","28.0","28.6","25.8","25.9","23.0","25.7","25.7","","","27.5"
"13A.37","2015","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","25.5","26.3","28.7","28.1","25.0","30.6","26.3","19.3","","","26.6"
"13A.37","2015","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","20.5","20.1","20.8","21.1","21.1","19.7","21.6","30.5","","","20.6"
"13A.37","2015","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","18.7","18.0","14.1","17.4","19.9","18.4","17.9","21.9","","","17.6"
"13A.37","2015","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","30.7","33.9","30.1","26.2","33.3","11.5","18.8","25.0","","","30.6"
"13A.37","2015","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","35.6","31.3","35.5","28.1","30.6","34.6","37.5","25.0","","","32.9"
"13A.37","2015","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","18.8","18.5","20.9","20.0","22.5","30.8","21.9","25.0","","","19.8"
"13A.37","2015","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","13.3","12.1","10.3","15.8","10.2","15.4","18.8","12.5","","","12.6"
"13A.37","2015","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","1.6","4.3","3.2","10.0","3.4","7.7","3.1","12.5","","","4.2"
"13A.37","2014","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","0.7","3.5","2.9","2.7","4.1","..","..","..","","","2.4"
"13A.37","2014","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","13.4","21.3","19.6","18.3","21.5","13.2","25.0","23.1","","","18.4"
"13A.37","2014","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","30.0","25.7","29.9","28.8","23.2","29.0","25.0","23.1","","","27.8"
"13A.37","2014","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","24.8","23.3","25.7","30.1","28.8","17.1","29.7","23.1","","","25.3"
"13A.37","2014","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","31.2","26.2","21.9","20.2","22.4","40.8","20.3","30.8","","","26.1"
"13A.37","2014","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","13.3","13.2","7.7","10.5","3.9","6.0","8.6","10.8","","","10.9"
"13A.37","2014","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","18.1","18.2","15.6","19.4","11.3","11.9","16.6","15.2","","","17.1"
"13A.37","2014","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","21.7","24.3","28.4","27.7","24.0","21.6","22.7","21.1","","","24.5"
"13A.37","2014","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","30.8","31.1","34.3","29.9","42.1","42.8","30.2","35.3","","","32.6"
"13A.37","2014","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Nurses","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Nurses and midwives","%","16.1","13.3","14.0","12.6","18.8","17.7","21.9","17.7","","","14.9"
"13A.37","2014","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","8.6","7.7","8.5","7.8","9.7","6.8","10.5","5.3","","","8.3"
"13A.37","2014","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","27.6","29.0","28.0","26.6","24.4","22.0","25.6","21.2","","","27.6"
